_id,Category,Licence No.,Operating Name,Issued,Client Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Ward,Conditions,Free Form Conditions Line 1,Free Form Conditions Line 2,Plate No.,Endorsements,Cancel Date,Last Record Update
92854,EATING OR DRINKING ESTABLISHMENT,B71-5507179,ABRIELLE,2025-03-11,ABRIELLE RESTAURANTS INC,,,355 KING ST W,"TORONTO, ON",M5V 1J6,10,SHARED ADDRESS;SERVES ALCOHOL;,,,,EATING/DRINKING;,,2025-11-18
93515,EATING OR DRINKING ESTABLISHMENT,B71-5595392,3RD MOM HOT POT,2025-10-31,3RD MOM DOWNTOWN INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,SHARED ADDRESS;,,,,EATING/DRINKING;,,2025-10-31
94744,SECOND HAND SHOP,B73-3951270,MONSTER RECORDS INC,2009-09-02,MONSTER RECORDS INC,,,664 YONGE ST,"TORONTO, ON",M4Y 2A6,13,,,,,SECOND HAND SHOP;,2011-12-03,2012-01-30
96419,COMMERCIAL PARKING LOT,B77-3240145,TRACT PARKING MANAGEMENT INC,2002-02-08,TRACT PARKING MANAGEMENT INC,,,250 DUNDAS ST W,"TORONTO, ON",M5T 2Z5,11,,,,,xPARKING LOT OVER 10;,2012-01-01,2012-09-21
96806,COMMERCIAL PARKING LOT,B77-4665380,INDIGO PARK,2016-09-20,INDIGO PARK CANADA INC,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,,,,,COMMERCIAL PARKING LOT;,2020-05-28,2021-02-02
97179,COMMERCIAL PARKING LOT,B77-3486854,IMPARK LOT#229,2004-12-17,IMPERIAL PARKING CANADA CORP,,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,,214 PARKING SPOTS,,,COMMERCIAL PARKING LOT;,,2026-01-07
97190,COMMERCIAL PARKING LOT,B77-3598041,ROGERS CENTRE,2005-08-12,ROGERS SPORTS HOLDINGS INC,4163411144,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,,"""LOCATED UNDERGROUND AT ROGERS CENTRE""",,,COMMERCIAL PARKING LOT;,,2025-05-30
97252,COMMERCIAL PARKING LOT,B77-4291422,IMPARK LOT#427,2013-06-14,IMPERIAL PARKING CANADA CORP,,,250 DUNDAS ST W,"TORONTO, ON",M5T 2Z5,11,LICENSEE CAN ISSUE PRIVATE INVOICES;,,,,COMMERCIAL PARKING LOT;,,2026-05-12
97544,COMMERCIAL PARKING LOT,B77-5046711,CANADA WIDE PARKING,2021-01-08,CANADA WIDE PARKING INC,4162211801,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,,,,,COMMERCIAL PARKING LOT;,,2026-02-20
97839,COMMERCIAL PARKING LOT,B77-5456637,SPACIOUS CAR PARK MANAGEMENT,2024-08-16,SPACIOUS CAR PARK MANAGEMENT INC,,,355 KING ST W,"TORONTO, ON",M5V 1J6,10,,,,,COMMERCIAL PARKING LOT;,,2025-06-06
98834,NOISE EXEMPTION,P45-5001284,,2020-01-16,MEDIA RESOURCES INTERNATIONAL INC,,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,,,,,CONTINUOUS POUR AND/OR LARGE CRANE;,2020-01-22,2020-01-22
104079,TEMPORARY SIGN - A-FRAME,P61-5332347,,2023-06-22,2031863 ONTARIO INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,,,,,TEMPORARY SIGN - A-FRAME;,2025-07-01,2025-07-01
104080,TEMPORARY SIGN - A-FRAME,P61-5220294,,2022-08-15,"TIMSINA, KRISHNA PRASAD",,,250 DUNDAS ST W,"TORONTO, ON",M5T 2Z5,11,BUSINESS LICENCE NOT REQUIRED;,,,,TEMPORARY SIGN - A-FRAME;,2025-08-22,2025-08-22
110902,SIDEWALK VENDING,R53-3840532,GEORGE'S HOT DOGS,2008-08-19,"MITZITHRAS, GEORGIOS",,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,,ROGERS CENTRE - GATE #6 - BREMNER BLVD,,,NOT MAJOR ARTERIAL ROADS;,,2026-05-21
112660,SIDEWALK CAFE,R57-4182688,,2012-05-07,2174769 ONTARIO INC,,,131 AVENUE RD,"TORONTO, ON",M5R 2H7,11,,,,,SIDEWALK CAFE (CENTRAL) (FORMER AREA 3);,2015-11-30,2017-06-02
112710,SIDEWALK CAFE,R57-2165117,,2002-05-02,THAI PAN RESTAURANT INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,SHARED ADDRESS;,,Formerly Permit 16511701,,SIDEWALK CAFE (CENTRAL) (FORMER AREA 2);,2016-06-13,2016-06-13
112909,SIDEWALK CAFE,R57-4713945,,2017-06-14,VERSATILE HOLDINGS INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,,,,,SIDEWALK CAFE (CENTRAL) (FORMER AREA 2);,2018-06-13,2018-06-13
113115,SIDEWALK CAFE,R57-4844360,,2018-08-03,2377556 ONTARIO INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,LEGACY (APPLIED PRIOR TO SEP 2019);,,,,SIDEWALK CAFE (CENTRAL) (FORMER AREA 2);,2020-06-24,2020-06-24
113582,SIDEWALK CAFE,R57-5341529,1 HOTEL LOBBY BAR/1 HOTEL TORONTO/1 KITCHEN/CASA MADERA/,2024-02-15,MOHARI CANADA INC,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,LOCAL ROAD;,,,,SIDEWALK CAFE;,2025-04-29,2025-06-03
113854,SIDEWALK CAFE,R57-4647655,5 ELEMENTS,2017-05-04,"LAMANNA, CARMELINA",4165671190,,131 AVENUE RD,"TORONTO, ON",M5R 2H7,11,LEGACY (APPLIED PRIOR TO SEP 2019);,,,,SIDEWALK CAFE (CENTRAL) (FORMER AREA 3);,,2026-05-19
115250,MARKETING DISPLAY,R59-2169245,,2002-06-05,ASIA TRADING INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,BUSINESS LICENCE NOT REQUIRED;,,Formerly Permit 16924501,,MARKETING DISPLAY (CENTRAL) (AREA 2);,2012-11-06,2017-08-08
